(Click me, if I am too big copy and paste me into a spreadsheet or text editor)
		OBJECT NAME	LIGHTMAP INDEX	STATIC	OVERLAPPING SUBMESHES	OUT-OF-BOUNDS UVs	NUM MATS	MATERIAL	WARNINGS
		block6_2 (189 verts)	-1	True	False	True	1	[block6D (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 7x3 times]
		block6_4 (189 verts)	-1	True	False	True	1	[block6D (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 7x3 times]
		block4 (429 verts)	-1	True	False	True	1	[block4D (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 7x4 times]
		block2 (439 verts)	-1	True	False	True	1	[block2D (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 3x1 times]
		block9 (265 verts)	-1	True	False	True	1	[block9D (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 3x2 times]
		block4_2 (429 verts)	-1	True	False	True	1	[block4D (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 7x4 times]
		block1 (454 verts)	-1	True	False	True	1	[block1D (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 8x1 times]
		block3_ (392 verts)	-1	True	False	True	1	[block3D (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 6x3 times]
		block2_2 (439 verts)	-1	True	False	True	1	[block2D (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 3x1 times]
		block8_3 (278 verts)	-1	True	False	True	1	[block8D (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 5x2 times]
		block5_2 (429 verts)	-1	True	False	True	1	[block5D (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 5x1 times]
		block2_2 (439 verts)	-1	True	False	True	1	[block2D (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 3x1 times]
		block1_1_2 (454 verts)	-1	True	False	True	1	[block1D (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 8x1 times]
		block6_2 (189 verts)	-1	True	False	True	1	[block6D (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 7x3 times]
		block4_2 (429 verts)	-1	True	False	True	1	[block4D (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 7x4 times]
		block1_2 (454 verts)	-1	True	False	True	1	[block1D (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 8x1 times]
		block4_3 (435 verts)	-1	True	False	True	1	[block4D (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 7x4 times]
		block5 (429 verts)	-1	True	False	True	1	[block5D (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 5x1 times]
		block1_1 (454 verts)	-1	True	False	True	1	[block1D (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 8x1 times]
		block1_5 (454 verts)	-1	True	False	True	1	[block1D (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 8x1 times]
		block10 (398 verts)	-1	True	False	True	1	[block10D (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 4x2 times]
		block7 (629 verts)	-1	True	False	True	1	[block7D (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 7x3 times]
		block6_3 (189 verts)	-1	True	False	True	1	[block6D (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 7x3 times]
		block5_3 (429 verts)	-1	True	False	True	1	[block5D (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 5x1 times]
		block1_6 (452 verts)	-1	True	False	True	1	[block1D (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 8x1 times]
		block1_4 (450 verts)	-1	True	False	True	1	[block1D (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 8x1 times]
		block11 (588 verts)	-1	True	False	True	1	[block11D (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 6x4 times]
		block8 (278 verts)	-1	True	False	True	1	[block8D (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 5x2 times]
		block7 (629 verts)	-1	True	False	True	1	[block7D (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 7x3 times]
	FX/Water (57 verts): 
		WaterProNighttime (57 verts)	-1	False	False	True	1	[WaterProNighttime (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 1x0 times]
	Legacy Shaders/Diffuse (23840 verts): 
		44d0e228_obj (1490 verts)	-1	False	False	True	1	[Grimble_Hands_D (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 0x0 times]
		44d0e228_obj (1490 verts)	-1	False	False	True	1	[Grimble_Hands_D (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 0x0 times]
		44d0e228_obj (1490 verts)	-1	False	False	True	1	[Grimble_Hands_D (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 0x0 times]
		44d0e228_obj (1490 verts)	-1	False	False	True	1	[Grimble_Hands_D (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 0x0 times]
		44d0e228_obj (1490 verts)	-1	False	False	True	1	[Grimble_Hands_D (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 0x0 times]
		44d0e228_obj (1490 verts)	-1	False	False	True	1	[Grimble_Hands_D (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 0x0 times]
		44d0e228_obj (1490 verts)	-1	False	False	True	1	[Grimble_Hands_D (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 0x0 times]
		44d0e228_obj (1490 verts)	-1	False	False	True	1	[Grimble_Hands_D (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 0x0 times]
		44d0e228_obj (1490 verts)	-1	False	False	True	1	[Grimble_Hands_D (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 0x0 times]
		44d0e228_obj (1490 verts)	-1	False	False	True	1	[Grimble_Hands_D (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 0x0 times]
		44d0e228_obj (1490 verts)	-1	False	False	True	1	[Grimble_Hands_D (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 0x0 times]
		44d0e228_obj (1490 verts)	-1	False	False	True	1	[Grimble_Hands_D (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 0x0 times]
		44d0e228_obj (1490 verts)	-1	False	False	True	1	[Grimble_Hands_D (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 0x0 times]
		44d0e228_obj (1490 verts)	-1	False	False	True	1	[Grimble_Hands_D (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 0x0 times]
		44d0e228_obj (1490 verts)	-1	False	False	True	1	[Grimble_Hands_D (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 0x0 times]
		44d0e228_obj (1490 verts)	-1	False	False	True	1	[Grimble_Hands_D (UnityEngine.Material)] 	 [WARNING: has uvs outside the range (0,1) tex is tiled 0x0 times]
	Legacy Shaders/Diffuse (100384 verts): 
		44d47b50_obj (511 verts)	-1	False	False	False	1	[Grimble_Body_D (UnityEngine.Material)] 	
		44d92fb0_obj (506 verts)	-1	False	False	False	1	[Grimble_Hat_D (UnityEngine.Material)] 	
		44d83528_obj (1798 verts)	-1	False	True	False	1	[Grimble_Head_D (UnityEngine.Material)] [Grimble_Head_D (UnityEngine.Material)] 	 [WARNING: Submeshes share verts or triangles. 'Multiple Combined Materials' feature may not work.] [WARNING: Object uses same material on multiple submeshes. This may produce poor results when used with multiple materials or fix out of bounds uvs.]
		44da2d38_obj (264 verts)	-1	False	False	False	1	[Eye_DarkGreen_D (UnityEngine.Material)] 	
		44d92fb0_obj (506 verts)	-1	False	False	False	1	[Grimble_Hat_D (UnityEngine.Material)] 	
		44d23a40_obj (501 verts)	-1	False	False	False	1	[Teeth_D (UnityEngine.Material)] 	
		44d47b50_obj (511 verts)	-1	False	False	False	1	[Grimble_Body_D (UnityEngine.Material)] 	
		44d47b50_obj (511 verts)	-1	False	False	False	1	[Grimble_Body_D (UnityEngine.Material)] 	
		44db3008_obj (26 verts)	-1	False	False	False	1	[Eye_DarkGreen_D (UnityEngine.Material)] 	
		44d47b50_obj (511 verts)	-1	False	False	False	1	[Grimble_Body_D (UnityEngine.Material)] 	
		44d83528_obj (1798 verts)	-1	False	True	False	1	[Grimble_Head_D (UnityEngine.Material)] [Grimble_Head_D (UnityEngine.Material)] 	 [WARNING: Submeshes share verts or triangles. 'Multiple Combined Materials' feature may not work.] [WARNING: Object uses same material on multiple submeshes. This may produce poor results when used with multiple materials or fix out of bounds uvs.]
		44bf0d10_obj (26 verts)	-1	False	False	False	1	[Eye_DarkGreen_D (UnityEngine.Material)] 	
		44db3008_obj (26 verts)	-1	False	False	False	1	[Eye_DarkGreen_D (UnityEngine.Material)] 	
		44d83528_obj (1798 verts)	-1	False	True	False	1	[Grimble_Head_D (UnityEngine.Material)] [Grimble_Head_D (UnityEngine.Material)] 	 [WARNING: Submeshes share verts or triangles. 'Multiple Combined Materials' feature may not work.] [WARNING: Object uses same material on multiple submeshes. This may produce poor results when used with multiple materials or fix out of bounds uvs.]
		44da2d38_obj (264 verts)	-1	False	False	False	1	[Eye_DarkGreen_D (UnityEngine.Material)] 	
		44bf0d10_obj (26 verts)	-1	False	False	False	1	[Eye_DarkGreen_D (UnityEngine.Material)] 	
		44d83528_obj (1798 verts)	-1	False	True	False	1	[Grimble_Head_D (UnityEngine.Material)] [Grimble_Head_D (UnityEngine.Material)] 	 [WARNING: Submeshes share verts or triangles. 'Multiple Combined Materials' feature may not work.] [WARNING: Object uses same material on multiple submeshes. This may produce poor results when used with multiple materials or fix out of bounds uvs.]
		44d47b50_obj (511 verts)	-1	False	False	False	1	[Grimble_Body_D (UnityEngine.Material)] 	
		44d92fb0_obj (506 verts)	-1	False	False	False	1	[Grimble_Hat_D (UnityEngine.Material)] 	
		44d47b50_obj (511 verts)	-1	False	False	False	1	[Grimble_Body_D (UnityEngine.Material)] 	
		44d83528_obj (1798 verts)	-1	False	True	False	1	[Grimble_Head_D (UnityEngine.Material)] [Grimble_Head_D (UnityEngine.Material)] 	 [WARNING: Submeshes share verts or triangles. 'Multiple Combined Materials' feature may not work.] [WARNING: Object uses same material on multiple submeshes. This may produce poor results when used with multiple materials or fix out of bounds uvs.]
		44d83528_obj (1798 verts)	-1	False	True	False	1	[Grimble_Head_D (UnityEngine.Material)] [Grimble_Head_D (UnityEngine.Material)] 	 [WARNING: Submeshes share verts or triangles. 'Multiple Combined Materials' feature may not work.] [WARNING: Object uses same material on multiple submeshes. This may produce poor results when used with multiple materials or fix out of bounds uvs.]
		44bf0d10_obj (26 verts)	-1	False	False	False	1	[Eye_DarkGreen_D (UnityEngine.Material)] 	
		44da2d38_obj (264 verts)	-1	False	False	False	1	[Eye_DarkGreen_D (UnityEngine.Material)] 	
		44d92fb0_obj (506 verts)	-1	False	False	False	1	[Grimble_Hat_D (UnityEngine.Material)] 	
		44d83528_obj (1798 verts)	-1	False	True	False	1	[Grimble_Head_D (UnityEngine.Material)] [Grimble_Head_D (UnityEngine.Material)] 	 [WARNING: Submeshes share verts or triangles. 'Multiple Combined Materials' feature may not work.] [WARNING: Object uses same material on multiple submeshes. This may produce poor results when used with multiple materials or fix out of bounds uvs.]
		44db3008_obj (26 verts)	-1	False	False	False	1	[Eye_DarkGreen_D (UnityEngine.Material)] 	
		44d23a40_obj (501 verts)	-1	False	False	False	1	[Teeth_D (UnityEngine.Material)] 	
		44d83528_obj (1798 verts)	-1	False	True	False	1	[Grimble_Head_D (UnityEngine.Material)] [Grimble_Head_D (UnityEngine.Material)] 	 [WARNING: Submeshes share verts or triangles. 'Multiple Combined Materials' feature may not work.] [WARNING: Object uses same material on multiple submeshes. This may produce poor results when used with multiple materials or fix out of bounds uvs.]
		44d92fb0_obj (506 verts)	-1	False	False	False	1	[Grimble_Hat_D (UnityEngine.Material)] 	
		44d23a40_obj (501 verts)	-1	False	False	False	1	[Teeth_D (UnityEngine.Material)] 	
		44bf0d10_obj (26 verts)	-1	False	False	False	1	[Eye_DarkGreen_D (UnityEngine.Material)] 	
		44da2d38_obj (264 verts)	-1	False	False	False	1	[Eye_DarkGreen_D (UnityEngine.Material)] 	
		44d92fb0_obj (506 verts)	-1	False	False	False	1	[Grimble_Hat_D (UnityEngine.Material)] 	
		44d83528_obj (1798 verts)	-1	False	True	False	1	[Grimble_Head_D (UnityEngine.Material)] [Grimble_Head_D (UnityEngine.Material)] 	 [WARNING: Submeshes share verts or triangles. 'Multiple Combined Materials' feature may not work.] [WARNING: Object uses same material on multiple submeshes. This may produce poor results when used with multiple materials or fix out of bounds uvs.]
		44d47b50_obj (511 verts)	-1	False	False	False	1	[Grimble_Body_D (UnityEngine.Material)] 	
		44d23a40_obj (501 verts)	-1	False	False	False	1	[Teeth_D (UnityEngine.Material)] 	
		44da2d38_obj (264 verts)	-1	False	False	False	1	[Eye_DarkGreen_D (UnityEngine.Material)] 	
		44d92fb0_obj (506 verts)	-1	False	False	False	1	[Grimble_Hat_D (UnityEngine.Material)] 	
		44bf0d10_obj (26 verts)	-1	False	False	False	1	[Eye_DarkGreen_D (UnityEngine.Material)] 	
		44d23a40_obj (501 verts)	-1	False	False	False	1	[Teeth_D (UnityEngine.Material)] 	
		44d92fb0_obj (506 verts)	-1	False	False	False	1	[Grimble_Hat_D (UnityEngine.Material)] 	
		44da2d38_obj (264 verts)	-1	False	False	False	1	[Eye_DarkGreen_D (UnityEngine.Material)] 	
		44d83528_obj (1798 verts)	-1	False	True	False	1	[Grimble_Head_D (UnityEngine.Material)] [Grimble_Head_D (UnityEngine.Material)] 	 [WARNING: Submeshes share verts or triangles. 'Multiple Combined Materials' feature may not work.] [WARNING: Object uses same material on multiple submeshes. This may produce poor results when used with multiple materials or fix out of bounds uvs.]
		44d23a40_obj (501 verts)	-1	False	False	False	1	[Teeth_D (UnityEngine.Material)] 	
		44d23a40_obj (501 verts)	-1	False	False	False	1	[Teeth_D (UnityEngine.Material)] 	
		44d23a40_obj (501 verts)	-1	False	False	False	1	[Teeth_D (UnityEngine.Material)] 	
		44d23a40_obj (501 verts)	-1	False	False	False	1	[Teeth_D (UnityEngine.Material)] 	
		44da2d38_obj (264 verts)	-1	False	False	False	1	[Eye_DarkGreen_D (UnityEngine.Material)] 	
		44db3008_obj (26 verts)	-1	False	False	False	1	[Eye_DarkGreen_D (UnityEngine.Material)] 	
		44d23a40_obj (501 verts)	-1	False	False	False	1	[Teeth_D (UnityEngine.Material)] 	
		44bf0d10_obj (26 verts)	-1	False	False	False	1	[Eye_DarkGreen_D (UnityEngine.Material)] 	
		44d23a40_obj (501 verts)	-1	False	False	False	1	[Teeth_D (UnityEngine.Material)] 	
		44d23a40_obj (501 verts)	-1	False	False	False	1	[Teeth_D (UnityEngine.Material)] 	
		44d92fb0_obj (506 verts)	-1	False	False	False	1	[Grimble_Hat_D (UnityEngine.Material)] 	
		44d5fce0_obj (2642 verts)	-1	False	True	False	1	[Grimble_Body_D (UnityEngine.Material)] [Grimble_Body_D (UnityEngine.Material)] 	 [WARNING: Submeshes share verts or triangles. 'Multiple Combined Materials' feature may not work.] [WARNING: Object uses same material on multiple submeshes. This may produce poor results when used with multiple materials or fix out of bounds uvs.]
		44bf0d10_obj (26 verts)	-1	False	False	False	1	[Eye_DarkGreen_D (UnityEngine.Material)] 	
		44db3008_obj (26 verts)	-1	False	False	False	1	[Eye_DarkGreen_D (UnityEngine.Material)] 	
		44d92fb0_obj (506 verts)	-1	False	False	False	1	[Grimble_Hat_D (UnityEngine.Material)] 	
		44d83528_obj (1798 verts)	-1	False	True	False	1	[Grimble_Head_D (UnityEngine.Material)] [Grimble_Head_D (UnityEngine.Material)] 	 [WARNING: Submeshes share verts or triangles. 'Multiple Combined Materials' feature may not work.] [WARNING: Object uses same material on multiple submeshes. This may produce poor results when used with multiple materials or fix out of bounds uvs.]
		44d92fb0_obj (506 verts)	-1	False	False	False	1	[Grimble_Hat_D (UnityEngine.Material)] 	
		44bf0d10_obj (26 verts)	-1	False	False	False	1	[Eye_DarkGreen_D (UnityEngine.Material)] 	
		44d5fce0_obj (2642 verts)	-1	False	True	False	1	[Grimble_Body_D (UnityEngine.Material)] [Grimble_Body_D (UnityEngine.Material)] 	 [WARNING: Submeshes share verts or triangles. 'Multiple Combined Materials' feature may not work.] [WARNING: Object uses same material on multiple submeshes. This may produce poor results when used with multiple materials or fix out of bounds uvs.]
		44d5fce0_obj (2642 verts)	-1	False	True	False	1	[Grimble_Body_D (UnityEngine.Material)] [Grimble_Body_D (UnityEngine.Material)] 	 [WARNING: Submeshes share verts or triangles. 'Multiple Combined Materials' feature may not work.] [WARNING: Object uses same material on multiple submeshes. This may produce poor results when used with multiple materials or fix out of bounds uvs.]
		44d5fce0_obj (2642 verts)	-1	False	True	False	1	[Grimble_Body_D (UnityEngine.Material)] [Grimble_Body_D (UnityEngine.Material)] 	 [WARNING: Submeshes share verts or triangles. 'Multiple Combined Materials' feature may not work.] [WARNING: Object uses same material on multiple submeshes. This may produce poor results when used with multiple materials or fix out of bounds uvs.]
		44d5fce0_obj (2642 verts)	-1	False	True	False	1	[Grimble_Body_D (UnityEngine.Material)] [Grimble_Body_D (UnityEngine.Material)] 	 [WARNING: Submeshes share verts or triangles. 'Multiple Combined Materials' feature may not work.] [WARNING: Object uses same material on multiple submeshes. This may produce poor results when used with multiple materials or fix out of bounds uvs.]
		44d83528_obj (1798 verts)	-1	False	True	False	1	[Grimble_Head_D (UnityEngine.Material)] [Grimble_Head_D (UnityEngine.Material)] 	 [WARNING: Submeshes share verts or triangles. 'Multiple Combined Materials' feature may not work.] [WARNING: Object uses same material on multiple submeshes. This may produce poor results when used with multiple materials or fix out of bounds uvs.]
		44d83528_obj (1798 verts)	-1	False	True	False	1	[Grimble_Head_D (UnityEngine.Material)] [Grimble_Head_D (UnityEngine.Material)] 	 [WARNING: Submeshes share verts or triangles. 'Multiple Combined Materials' feature may not work.] [WARNING: Object uses same material on multiple submeshes. This may produce poor results when used with multiple materials or fix out of bounds uvs.]
		44db3008_obj (26 verts)	-1	False	False	False	1	[Eye_DarkGreen_D (UnityEngine.Material)] 	
		44d47b50_obj (511 verts)	-1	False	False	False	1	[Grimble_Body_D (UnityEngine.Material)] 	
		44bf0d10_obj (26 verts)	-1	False	False	False	1	[Eye_DarkGreen_D (UnityEngine.Material)] 	
		44d5fce0_obj (2642 verts)	-1	False	True	False	1	[Grimble_Body_D (UnityEngine.Material)] [Grimble_Body_D (UnityEngine.Material)] 	 [WARNING: Submeshes share verts or triangles. 'Multiple Combined Materials' feature may not work.] [WARNING: Object uses same material on multiple submeshes. This may produce poor results when used with multiple materials or fix out of bounds uvs.]
		44d47b50_obj (511 verts)	-1	False	False	False	1	[Grimble_Body_D (UnityEngine.Material)] 	
		44d47b50_obj (511 verts)	-1	False	False	False	1	[Grimble_Body_D (UnityEngine.Material)] 	
		44da2d38_obj (264 verts)	-1	False	False	False	1	[Eye_DarkGreen_D (UnityEngine.Material)] 	
		44d92fb0_obj (506 verts)	-1	False	False	False	1	[Grimble_Hat_D (UnityEngine.Material)] 	
		44db3008_obj (26 verts)	-1	False	False	False	1	[Eye_DarkGreen_D (UnityEngine.Material)] 	
		44d23a40_obj (501 verts)	-1	False	False	False	1	[Teeth_D (UnityEngine.Material)] 	
		44d47b50_obj (511 verts)	-1	False	False	False	1	[Grimble_Body_D (UnityEngine.Material)] 	
		44d83528_obj (1798 verts)	-1	False	True	False	1	[Grimble_Head_D (UnityEngine.Material)] [Grimble_Head_D (UnityEngine.Material)] 	 [WARNING: Submeshes share verts or triangles. 'Multiple Combined Materials' feature may not work.] [WARNING: Object uses same material on multiple submeshes. This may produce poor results when used with multiple materials or fix out of bounds uvs.]
		44d83528_obj (1798 verts)	-1	False	True	False	1	[Grimble_Head_D (UnityEngine.Material)] [Grimble_Head_D (UnityEngine.Material)] 	 [WARNING: Submeshes share verts or triangles. 'Multiple Combined Materials' feature may not work.] [WARNING: Object uses same material on multiple submeshes. This may produce poor results when used with multiple materials or fix out of bounds uvs.]
		44db3008_obj (26 verts)	-1	False	False	False	1	[Eye_DarkGreen_D (UnityEngine.Material)] 	
		44da2d38_obj (264 verts)	-1	False	False	False	1	[Eye_DarkGreen_D (UnityEngine.Material)] 	
		44d83528_obj (1798 verts)	-1	False	True	False	1	[Grimble_Head_D (UnityEngine.Material)] [Grimble_Head_D (UnityEngine.Material)] 	 [WARNING: Submeshes share verts or triangles. 'Multiple Combined Materials' feature may not work.] [WARNING: Object uses same material on multiple submeshes. This may produce poor results when used with multiple materials or fix out of bounds uvs.]
		44bf0d10_obj (26 verts)	-1	False	False	False	1	[Eye_DarkGreen_D (UnityEngine.Material)] 	
		44d92fb0_obj (506 verts)	-1	False	False	False	1	[Grimble_Hat_D (UnityEngine.Material)] 	
		44bf0d10_obj (26 verts)	-1	False	False	False	1	[Eye_DarkGreen_D (UnityEngine.Material)] 	
		44bf0d10_obj (26 verts)	-1	False	False	False	1	[Eye_DarkGreen_D (UnityEngine.Material)] 	
		44d5fce0_obj (2642 verts)	-1	False	True	False	1	[Grimble_Body_D (UnityEngine.Material)] [Grimble_Body_D (UnityEngine.Material)] 	 [WARNING: Submeshes share verts or triangles. 'Multiple Combined Materials' feature may not work.] [WARNING: Object uses same material on multiple submeshes. This may produce poor results when used with multiple materials or fix out of bounds uvs.]
		44d47b50_obj (511 verts)	-1	False	False	False	1	[Grimble_Body_D (UnityEngine.Material)] 	
		44db3008_obj (26 verts)	-1	False	False	False	1	[Eye_DarkGreen_D (UnityEngine.Material)] 	
		44da2d38_obj (264 verts)	-1	False	False	False	1	[Eye_DarkGreen_D (UnityEngine.Material)] 	
		44db3008_obj (26 verts)	-1	False	False	False	1	[Eye_DarkGreen_D (UnityEngine.Material)] 	
